Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
4578,0.749540352,0.025097273,0,0,1
4579,0.179036352,0.066755909,0,0,1
4580,0,0.181768636,0,0,1
4581,0,0.429049091,0,0,1
4582,0,0.658007273,0,0,1
4583,0,0.776731364,0,0,1
4584,0,0.639020909,0,0,1
4585,0,0.519863182,0,0,1
4586,0,0.479920455,0,0,1
4587,0,0.400244091,0,0,1
4588,0,0.311945909,0,0,1
4589,0,0.270869545,0,0,1
4590,0.193043553,0.222025909,0,0,1
4591,0.764492661,0.200740455,0,0,1
4592,0.948496973,0.079904091,0,0,1
4593,0.987251408,0.003435455,0,0,1
4594,0.987251408,0.001445,0,0,1
4595,0.987251408,0.029147273,0,0,1
4596,0.987251408,0.070661818,0,0,1
4597,0.987251408,0.077608636,0,0,1
4598,0.987251408,0.049945455,0,0,1
4599,0.987251408,0.078710455,0,0,1
4600,0.987251408,0.073285455,0,0,1
4601,0.95092866,0.099735909,0,0,1
4602,0.753092829,0.148665909,0,0,1
4603,0.17836901,0.312638636,0,0,1
4604,0,0.502240455,0,0,1
4605,0,0.503500909,0,0,1
4606,0,0.554651818,0,0,1
4607,0,0.563913636,0,0,1
4608,0,0.553279091,0,0,1
4609,0,0.559497273,0,0,1
4610,0,0.543353636,0,0,1
4611,0,0.605026364,0,0,1
4612,0,0.738542727,0,0,1
4613,0,0.805758636,0,0,1
4614,0.189177495,0.709756818,0,0,1
4615,0.759593551,0.371815,0,0,1
4616,0.951736739,0.002951364,0,0,1
4617,0.987251408,0,0,0,1
4618,0.987251408,0,0,0,1
4619,0.987251408,0.028838182,0,0,1
4620,0.987251408,0.070720455,0,0,1
4621,0.987251408,0.059915455,0,0,1
4622,0.987251408,0.131954091,0,0,1
4623,0.987251408,0.111098182,0,0,1
4624,0.941203012,0.122928636,0,0,1
4625,0.941845336,0.095358636,0,0,1
4626,0.737403691,0.133723636,0,0,1
4627,0.170798909,0.272970455,0,0,1
4628,0,0.652616818,0,0,1
4629,0,0.759124545,0,0,1
4630,0,0.797412727,0,0,1
4631,0,0.793582273,0,0,1
4632,0,0.682733182,0,0,1
4633,0,0.640603182,0,0,1
